Date,Exchange,Volume_USD_Millions,Volume_ETH
2024-09-01,Binance,10874.4,2.53
2024-09-01,Coinbase,5926.79,1.41
2024-09-01,Kraken,4579.45,1.08
2024-09-01,OKX,5022.11,1.16
2024-09-01,Bybit,4690.66,1.12
2024-09-01,Huobi,2518.51,0.62
2024-09-02,Binance,12441.77,2.89
2024-09-02,Coinbase,10143.05,2.4
2024-09-02,Kraken,5589.3,1.29
2024-09-02,OKX,7437.37,1.79
2024-09-02,Bybit,7179.64,1.69
2024-09-02,Huobi,2448.11,0.6
2024-09-03,Binance,10545.68,2.46
2024-09-03,Coinbase,8020.85,1.94
2024-09-03,Kraken,5379.43,1.26
2024-09-03,OKX,7621.94,1.81
2024-09-03,Bybit,5775.11,1.38
2024-09-03,Huobi,3908.76,0.9
2024-09-04,Binance,15650.99,3.63
2024-09-04,Coinbase,7873.62,1.84
2024-09-04,Kraken,6215.79,1.48
2024-09-04,OKX,7185.33,1.72
2024-09-04,Bybit,6711.01,1.56
2024-09-04,Huobi,5257.32,1.25
2024-09-05,Binance,13922.4,3.31
2024-09-05,Coinbase,8207.34,1.89
2024-09-05,Kraken,4495.65,1.08
2024-09-05,OKX,4676.61,1.1
2024-09-05,Bybit,6049.67,1.34
2024-09-05,Huobi,3940.68,0.91
2024-09-06,Binance,12838.62,3.1
2024-09-06,Coinbase,7588.33,1.82
2024-09-06,Kraken,4187.68,0.98
2024-09-06,OKX,7198.19,1.68
2024-09-06,Bybit,7011.79,1.67
2024-09-06,Huobi,3974.37,0.96
2024-09-07,Binance,9114.56,2.2
2024-09-07,Coinbase,5033.79,1.16
2024-09-07,Kraken,2934.42,0.7
2024-09-07,OKX,2833.22,0.67
2024-09-07,Bybit,4257.79,1.03
2024-09-07,Huobi,3524.87,0.83
2024-09-08,Binance,9267.79,2.19
2024-09-08,Coinbase,5738.75,1.37
2024-09-08,Kraken,3122.73,0.73
2024-09-08,OKX,4409.16,1.03
2024-09-08,Bybit,5195.12,1.25
2024-09-08,Huobi,2295.01,0.54
2024-09-09,Binance,15998.12,3.85
2024-09-09,Coinbase,5822.38,1.35
2024-09-09,Kraken,5531.36,1.29
2024-09-09,OKX,8282.62,1.91
2024-09-09,Bybit,5712.0,1.32
2024-09-09,Huobi,4441.09,1.07
2024-09-10,Binance,9763.63,2.25
2024-09-10,Coinbase,8376.99,1.97
2024-09-10,Kraken,5390.06,1.27
2024-09-10,OKX,7342.86,1.72
2024-09-10,Bybit,4512.89,1.03
2024-09-10,Huobi,4442.81,1.07
2024-09-11,Binance,21181.4,5.15
2024-09-11,Coinbase,8651.06,2.07
2024-09-11,Kraken,2629.66,0.62
2024-09-11,OKX,6949.21,1.6
2024-09-11,Bybit,7672.24,1.77
2024-09-11,Huobi,5724.26,1.33
2024-09-12,Binance,17977.92,4.22
2024-09-12,Coinbase,8546.51,1.97
2024-09-12,Kraken,3834.33,0.91
2024-09-12,OKX,9065.69,2.09
2024-09-12,Bybit,4797.65,1.13
2024-09-12,Huobi,2865.68,0.66
2024-09-13,Binance,16731.54,3.87
2024-09-13,Coinbase,5867.35,1.38
2024-09-13,Kraken,5043.01,1.14
2024-09-13,OKX,5999.72,1.39
2024-09-13,Bybit,6385.86,1.47
2024-09-13,Huobi,4685.18,1.11
2024-09-14,Binance,8619.06,1.97
